,Unnamed: 0,id,host_name,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,price_mxn
1357,1357,11858660,Pim,"Amsterdam, Netherlands",,,,f,,1,"['email', 'phone']",t,t,"Amsterdam, North Holland, Netherlands",De Pijp - Rivierenbuurt,52.35458,4.9039,Entire rental unit,Entire home/apt,2,,1.0,,"[""First aid kit"", ""Dishwasher"", ""Oven"", ""Refrigerator"", ""Hangers"", ""Extra pillows and blankets"", ""Microwave"", ""Stove"", ""Iron"", ""Essentials"", ""Smoke alarm"", ""Shampoo"", ""Fire extinguisher"", ""Dishes and silverware"", ""Kitchen"", ""Hair dryer"", ""Coffee maker"", ""Cooking basics"", ""Bed linens"", ""Luggage dropoff allowed"", ""Wifi"", ""Hot water"", ""Patio or balcony"", ""Private entrance"", ""Washer"", ""Heating""]",,3,20,3.0,3.0,1125.0,1125.0,3.0,1125.0,t,0,0,0,0,40,0,0,2016-03-30,2020-03-12,t,1,1,0,0,0.38,
1360,1360,11882378,Rosanne & Els,"Amsterdam, Netherlands",,,100%,f,,1,"['email', 'phone']",t,t,,Oud-Oost,52.35105,4.91299,Entire rental unit,Entire home/apt,2,1.0,0.0,1.0,"[""Shower gel"", ""Oven"", ""Refrigerator"", ""Hangers"", ""Coffee maker: Nespresso"", ""Microwave"", ""Stove"", ""Dining table"", ""Conditioner"", ""Essentials"", ""Smoke alarm"", ""Shampoo"", ""Coffee"", ""Dishes and silverware"", ""Kitchen"", ""Hair dryer"", ""Baking sheet"", ""Cooking basics"", ""Bed linens"", ""Host greets you"", ""TV with standard cable"", ""Wifi"", ""Hot water"", ""Heating"", ""Cleaning products"", ""Hot water kettle""]",147.0,2,1125,1.0,2.0,1125.0,1125.0,2.0,1125.0,t,13,13,13,51,64,8,0,2016-03-26,2024-10-21,t,1,1,0,0,0.6,2646.0
1367,1367,11966081,Foke,"Amsterdam, Netherlands",within an hour,100.0,100%,f,Oosterparkbuurt,1,"['email', 'phone']",t,t,"Amsterdam, Noord-Holland, Netherlands",Oud-Oost,52.35034,4.91602,Entire rental unit,Entire home/apt,2,1.5,1.0,1.0,"[""Freezer"", ""Backyard"", ""Paid parking off premises"", ""Dishwasher"", ""Oven"", ""Body soap"", ""Refrigerator"", ""Record player"", ""Dedicated workspace"", ""Outdoor furniture"", ""Hangers"", ""Extra pillows and blankets"", ""Microwave"", ""Stove"", ""Single level home"", ""Dining table"", ""Iron"", ""Essentials"", ""Smoke alarm"", ""Shampoo"", ""Wine glasses"", ""Clothing storage: wardrobe"", ""Coffee"", ""Dishes and silverware"", ""Kitchen"", ""Hair dryer"", ""Coffee maker"", ""Cooking basics"", ""Bed linens"", ""Host greets you"", ""TV with standard cable"", ""Wifi"", ""Hot water"", ""Bluetooth sound system"", ""Private entrance"", ""Washer"", ""Heating"", ""Piano"", ""Cleaning products"", ""Hot water kettle""]",206.0,365,700,1.0,365.0,700.0,700.0,322.3,700.0,t,0,0,6,22,55,7,0,2016-07-12,2024-09-29,t,1,1,0,0,0.54,3708.0
1374,1374,12065591,Nikkie,"Amsterdam, Netherlands",within an hour,100.0,100%,f,Jordaan,1,['phone'],t,t,"Amsterdam, Noord-Holland, Netherlands",Centrum-West,52.37921,4.88129,Private room in bed and breakfast,Private room,2,1.0,1.0,2.0,"[""First aid kit"", ""Backyard"", ""Dishwasher"", ""Oven"", ""Refrigerator"", ""Hangers"", ""Microwave"", ""Stove"", ""Iron"", ""Essentials"", ""Smoke alarm"", ""Shampoo"", ""Dishes and silverware"", ""Kitchen"", ""Hair dryer"", ""Coffee maker"", ""Cooking basics"", ""Lock on bedroom door"", ""TV with standard cable"", ""Wifi"", ""Hot water"", ""Washer"", ""Heating""]",169.0,5,1125,5.0,5.0,1125.0,1125.0,5.0,1125.0,t,17,17,17,17,113,1,0,2016-06-24,2024-10-28,t,1,0,1,0,1.1,3042.0
1376,1376,12082536,Rijk,"Amsterdam, Netherlands",within an hour,100.0,100%,f,,1,"['email', 'phone']",t,t,,Watergraafsmeer,52.34042,4.92106,Entire rental unit,Entire home/apt,2,1.0,0.0,0.0,"[""Dishwasher"", ""Oven"", ""Refrigerator"", ""Extra pillows and blankets"", ""Stove"", ""Elevator"", ""Essentials"", ""Smoke alarm"", ""Dishes and silverware"", ""Kitchen"", ""Coffee maker"", ""Hair dryer"", ""Cooking basics"", ""Bed linens"", ""Host greets you"", ""TV with standard cable"", ""Wifi"", ""Hot water"", ""Patio or balcony"", ""Heating""]",100.0,6,30,6.0,6.0,1125.0,1125.0,6.0,1125.0,t,0,0,7,19,45,4,0,2016-04-11,2024-05-27,t,1,1,0,0,0.43,1800.0
1403,1403,12373532,Zoku Amsterdam,"Amsterdam, Netherlands",within an hour,97.0,99%,t,Weesperbuurt en Plantage,6,"['email', 'phone']",t,t,"Amsterdam, Noord-Holland, Netherlands",Centrum-Oost,52.36475,4.90731,Room in aparthotel,Entire home/apt,2,,1.0,,"[""First aid kit"", ""Freezer"", ""Marie Stella Maris body soap"", ""Central heating"", ""Drying rack for clothing"", ""Toaster"", ""Shower gel"", ""Dishwasher"", ""Shared gym nearby"", ""Stainless steel electric stove"", ""Carbon monoxide alarm"", ""Siemens refrigerator"", ""Outdoor furniture"", ""Dedicated workspace"", ""Hangers"", ""Cleaning available during stay"", ""Coffee maker: Nespresso"", ""Bikes"", ""32 inch HDTV with Chromecast, Netflix, standard cable"", ""Extra pillows and blankets"", ""Laundromat nearby"", ""Microwave"", ""Board games"", ""Outdoor dining area"", ""Paid washer \u2013 In building"", ""Ethernet connection"", ""Dining table"", ""Elevator"", ""Iron"", ""Essentials"", ""Ping pong table"", ""Shared patio or balcony"", ""Long term stays allowed"", ""EV charger"", ""Clothing storage: closet, wardrobe, and dresser"", ""Smoke alarm"", ""Game console: Nintendo Switch"", ""Wine glasses"", ""Coffee"", ""Paid street parking off premises"", ""City skyline view"", ""Fire extinguisher"", ""Pets allowed"", ""Building staff"", ""Dishes and silverware"", ""Kitchen"", ""Paid parking lot on premises \u2013 21 spaces"", ""Self check-in"", ""Marie Stella Maris shampoo"", ""Hair dryer"", ""Baking sheet"", ""Cooking basics"", ""Hammock"", ""Bed linens"", ""Paid dryer \u2013 In building"", ""Central air conditioning"", ""Mini fridge"", ""Luggage dropoff allowed"", ""Sound system with Bluetooth and aux"", ""Exercise equipment: yoga mat"", ""Books and reading material"", ""Wifi"", ""Hot water"", ""Sun loungers"", ""Safe"", ""Private entrance"", ""Room-darkening shades"", ""Fire pit"", ""Indoor fireplace: gas"", ""Piano"", ""Cleaning products"", ""Hot water kettle""]",,28,99,28.0,28.0,999.0,999.0,28.0,999.0,t,30,60,90,206,3,3,0,2024-01-08,2024-03-24,t,6,6,0,0,0.27,
1408,1408,12479300,James,"Amsterdam, Netherlands",within an hour,100.0,100%,f,Bos en Lommer,1,"['email', 'phone']",t,t,"Amsterdam, Noord-Holland, Netherlands",Bos en Lommer,52.38367,4.84184,Entire rental unit,Entire home/apt,4,1.0,2.0,4.0,"[""Freezer"", ""Hot water kettle"", ""Central heating"", ""Drying rack for clothing"", ""Toaster"", ""Shower gel"", ""Paid parking lot on premises"", ""Dishwasher"", ""Private patio or balcony"", ""Carbon monoxide alarm"", ""Generic brands shampoo"", ""Gas stove"", ""Hangers"", ""Cleaning available during stay"", ""Extra pillows and blankets"", ""Microwave"", ""Single level home"", ""Dining table"", ""Iron"", ""Essentials"", ""Long term stays allowed"", ""EV charger"", ""Portable fans"", ""Smoke alarm"", ""Breakfast"", ""Free washer \u2013 In unit"", ""Generic brand refrigerator"", ""Wine glasses"", ""Paid street parking off premises"", ""Generic brands body soap"", ""Dishes and silverware"", ""Kitchen"", ""Hair dryer"", ""Cooking basics"", ""Bed linens"", ""Generic brands conditioner"", ""Luggage dropoff allowed"", ""Books and reading material"", ""Wifi"", ""Hot water"", ""Portable heater"", ""Room-darkening shades"", ""Clothing storage: closet and dresser"", ""Cleaning products"", ""43 inch HDTV with standard cable""]",260.0,2,14,2.0,2.0,1125.0,1125.0,2.0,1125.0,t,3,28,34,309,73,6,0,2016-05-04,2024-10-20,t,1,1,0,0,0.7,4680.0
1420,1420,12577304,Vital,"Amsterdam, Netherlands",within an hour,100.0,100%,f,,2,"['email', 'phone', 'work_email']",t,t,"Amsterdam, Noord-Holland, Netherlands",Gaasperdam - Driemond,52.30824,4.98137,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,"[""Dishwasher"", ""Lake access"", ""Oven"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Dedicated workspace"", ""Hangers"", ""Microwave"", ""Stove"", ""Ethernet connection"", ""Elevator"", ""Iron"", ""Essentials"", ""Long term stays allowed"", ""Smoke alarm"", ""Shampoo"", ""High chair"", ""Fire extinguisher"", ""Dishes and silverware"", ""Kitchen"", ""Smart lock"", ""Self check-in"", ""Free parking on premises"", ""Hair dryer"", ""Coffee maker"", ""Dryer"", ""Cooking basics"", ""Bathtub"", ""Bed linens"", ""Luggage dropoff allowed"", ""TV"", ""Wifi"", ""Hot water"", ""Patio or balcony"", ""Washer"", ""Room-darkening shades"", ""Heating""]",200.0,299,730,299.0,299.0,730.0,730.0,299.0,730.0,t,0,0,0,42,9,0,0,2016-05-08,2018-06-17,t,2,2,0,0,0.09,3600.0
1428,1428,12637711,Beppie,,,,100%,f,,1,"['email', 'phone']",t,t,"Amsterdam, Noord-Holland, Netherlands",Noord-West,52.41903,4.90123,Tiny home,Entire home/apt,4,,1.0,,"[""First aid kit"", ""Freezer"", ""Resort access"", ""Drying rack for clothing"", ""Shower gel"", ""Private patio or balcony"", ""Carbon monoxide alarm"", ""Outdoor furniture"", ""Free street parking"", ""Hangers"", ""Heating - split type ductless system"", ""Board games"", ""Single level home"", ""Dining table"", ""Essentials"", ""Smoke alarm"", ""Shampoo"", ""Electric stove"", ""Wine glasses"", ""Clothing storage: wardrobe"", ""Fire extinguisher"", ""Dishes and silverware"", ""Kitchen"", ""HDTV with Chromecast"", ""Free parking on premises"", ""Hair dryer"", ""Cooking basics"", ""Host greets you"", ""Mini fridge"", ""Luggage dropoff allowed"", ""Wifi"", ""Hot water"", ""Safe"", ""Coffee maker: pour-over coffee"", ""Cleaning products"", ""Hot water kettle""]",,3,3,3.0,3.0,1125.0,1125.0,3.0,1125.0,t,0,0,0,0,23,5,0,2021-10-24,2024-05-26,t,1,1,0,0,0.6,
1438,1438,12788194,Tim,"Amsterdam, Netherlands",,,,f,,1,"['email', 'phone', 'work_email']",t,t,,De Pijp - Rivierenbuurt,52.35481,4.88744,Entire rental unit,Entire home/apt,4,,2.0,,"[""Dryer"", ""Hangers"", ""Host greets you"", ""TV with standard cable"", ""Wifi"", ""Hair dryer"", ""Washer"", ""Heating"", ""Iron"", ""Essentials"", ""Kitchen"", ""Smoke alarm"", ""Shampoo""]",,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,t,0,0,0,0,20,0,0,2016-10-13,2017-08-20,t,1,1,0,0,0.2,
